RefMol,EF1%,BEDROC,Target,n_neighbors,metric
ligand_CHEMBL1092596,22.524916943521596,0.4450854802198741,CXCR4,10,cosine
ligand_CHEMBL1092628,2.25249169435216,0.2116731419901791,CXCR4,10,cosine
ligand_CHEMBL1093008,13.514950166112955,0.3696394587797617,CXCR4,10,cosine
ligand_CHEMBL1094864,13.514950166112955,0.2673586336970797,CXCR4,10,cosine
ligand_CHEMBL1096504,11.262458471760796,0.2791400862959804,CXCR4,10,cosine
ligand_CHEMBL452864,20.272425249169437,0.2845011026650433,CXCR4,10,cosine
ligand_CHEMBL452868,18.019933554817275,0.2786982230622225,CXCR4,10,cosine
ligand_CHEMBL454689,15.767441860465116,0.248634162581256,CXCR4,10,cosine
ligand_CHEMBL460298,20.272425249169437,0.2814544209562195,CXCR4,10,cosine
ligand_CHEMBL461358,13.514950166112955,0.244602872834077,CXCR4,10,cosine
ligand_CHEMBL508054,20.272425249169437,0.2882517548532191,CXCR4,10,cosine
ligand_CHEMBL541728,22.524916943521596,0.290513722698224,CXCR4,10,cosine
ligand_CHEMBL577268,18.019933554817275,0.3831829107762182,CXCR4,10,cosine
ligand_CHEMBL853,0.0,0.0019700550680239,CXCR4,10,cosine
ligand_CHEMBL1088912,22.524916943521596,0.3528354086741544,CXCR4,50,euclidean
ligand_CHEMBL1088913,27.02990033222591,0.4116961338601004,CXCR4,50,euclidean
ligand_CHEMBL1089845,18.019933554817275,0.3622212535444432,CXCR4,50,euclidean
ligand_CHEMBL1089846,15.767441860465116,0.3745854877130196,CXCR4,50,euclidean
ligand_CHEMBL1092301,13.514950166112955,0.2447446606932342,CXCR4,50,euclidean
ligand_CHEMBL1092324,18.019933554817275,0.3691567982502667,CXCR4,50,euclidean
ligand_CHEMBL1092596,22.524916943521596,0.4580488590160529,CXCR4,50,euclidean
ligand_CHEMBL1092628,13.514950166112955,0.3291082183689039,CXCR4,50,euclidean
ligand_CHEMBL1093008,22.524916943521596,0.4126546488927898,CXCR4,50,euclidean
ligand_CHEMBL1094864,13.514950166112955,0.3619360261776596,CXCR4,50,euclidean
ligand_CHEMBL1096504,15.767441860465116,0.3133728107773616,CXCR4,50,euclidean
ligand_CHEMBL452864,20.272425249169437,0.2935737116635533,CXCR4,50,euclidean
ligand_CHEMBL452868,20.272425249169437,0.2932309413088629,CXCR4,50,euclidean
ligand_CHEMBL454689,18.019933554817275,0.2758849149813628,CXCR4,50,euclidean
ligand_CHEMBL460298,20.272425249169437,0.2588958242076399,CXCR4,50,euclidean
ligand_CHEMBL461358,18.019933554817275,0.2381293642906823,CXCR4,50,euclidean
ligand_CHEMBL508054,20.272425249169437,0.2654346647814916,CXCR4,50,euclidean
ligand_CHEMBL541728,20.272425249169437,0.2530518251728609,CXCR4,50,euclidean
ligand_CHEMBL577268,13.514950166112955,0.3876273252776234,CXCR4,50,euclidean
ligand_CHEMBL853,2.25249169435216,0.0317474814289488,CXCR4,50,euclidean
ligand_CHEMBL1088912,13.514950166112955,0.3623609243511236,CXCR4,50,cosine
ligand_CHEMBL1088913,22.524916943521596,0.4304561433903717,CXCR4,50,cosine
ligand_CHEMBL1089845,9.009966777408636,0.2631311694049562,CXCR4,50,cosine
ligand_CHEMBL1089846,6.757475083056478,0.241561096153744,CXCR4,50,cosine
ligand_CHEMBL1092301,13.514950166112955,0.222624993031956,CXCR4,50,cosine
ligand_CHEMBL1092324,6.757475083056478,0.263326588473801,CXCR4,50,cosine
ligand_CHEMBL1092596,24.77740863787375,0.4122887871986293,CXCR4,50,cosine
ligand_CHEMBL1092628,11.262458471760796,0.3106094519504757,CXCR4,50,cosine
ligand_CHEMBL1093008,15.767441860465116,0.3704977664493865,CXCR4,50,cosine
ligand_CHEMBL1094864,6.757475083056478,0.2193232927595432,CXCR4,50,cosine
ligand_CHEMBL1096504,13.514950166112955,0.3065998204540651,CXCR4,50,cosine
ligand_CHEMBL452864,22.524916943521596,0.303519692531592,CXCR4,50,cosine
ligand_CHEMBL452868,20.272425249169437,0.2895000563562436,CXCR4,50,cosine
ligand_CHEMBL454689,15.767441860465116,0.2660883396520475,CXCR4,50,cosine
ligand_CHEMBL460298,22.524916943521596,0.335781383728686,CXCR4,50,cosine
ligand_CHEMBL461358,13.514950166112955,0.2737577947051105,CXCR4,50,cosine
ligand_CHEMBL508054,20.272425249169437,0.315683275010658,CXCR4,50,cosine
ligand_CHEMBL541728,20.272425249169437,0.3083904854660032,CXCR4,50,cosine
ligand_CHEMBL577268,13.514950166112955,0.3472010760038833,CXCR4,50,cosine
ligand_CHEMBL853,0.0,0.0037828325379178,CXCR4,50,cosine
ligand_CHEMBL1088912,22.524916943521596,0.3720330667164099,CXCR4,100,euclidean
ligand_CHEMBL1088913,29.282392026578076,0.4430993230005161,CXCR4,100,euclidean
ligand_CHEMBL1089845,22.524916943521596,0.3897742123521707,CXCR4,100,euclidean
ligand_CHEMBL1089846,20.272425249169437,0.3912637112054674,CXCR4,100,euclidean
ligand_CHEMBL1092301,13.514950166112955,0.2325591236858937,CXCR4,100,euclidean
ligand_CHEMBL1092324,22.524916943521596,0.3622356002112836,CXCR4,100,euclidean
ligand_CHEMBL1092596,27.02990033222591,0.469486468720343,CXCR4,100,euclidean
ligand_CHEMBL1092628,13.514950166112955,0.3399246674799613,CXCR4,100,euclidean
ligand_CHEMBL1093008,22.524916943521596,0.4169437285865721,CXCR4,100,euclidean
ligand_CHEMBL1094864,15.767441860465116,0.3855478837133315,CXCR4,100,euclidean
ligand_CHEMBL1096504,15.767441860465116,0.2852690999183565,CXCR4,100,euclidean
ligand_CHEMBL452864,20.272425249169437,0.3032032515314579,CXCR4,100,euclidean
ligand_CHEMBL452868,20.272425249169437,0.305571790469527,CXCR4,100,euclidean
ligand_CHEMBL454689,18.019933554817275,0.2818670366747899,CXCR4,100,euclidean
